Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.40.05	-17.439745	14.662257	Yas	1032	13	701	4G	-72	-13	0.0	-	-61	CELL_RESELECTION_4G4G	608-02-701-1630-11-6400-411:608-02-701-1032-13-6400-442	I
2025.07.18_22.40.09	-17.439745	14.662257	Yas	1630	3	701	4G	-88	-14	0.0	-	-75	CELL_RESELECTION_4G4G	608-02-701-1032-13-6400-442:608-02-701-1630-3-1850-403	I
2025.07.18_22.40.10	-17.439745	14.662257	Yas	1630	3	701	4G	-88	-14	0.0	-	-73	CALL_START	608-02-701-1630-3 VOICE SEQUENCE:13	I
2025.07.18_22.40.11	-17.439745	14.662257	Yas	0	0	0	4G	-88	-14	0.0	-	-75	HANDOVER_VOICE_4G4G	608-02-701-1630-3-1850-403:608-02-0-0-0-0-0	V
2025.07.18_22.40.18	-17.439755	14.662355	Yas	5	16302	43	2G	-65	-	-	-	-	IRAT_HANDOVER_VOICE_4G2G	608-02-0-0-0-0-0:608-02-43-5-16302-3060-227	VD
2025.07.18_22.40.18	-17.439755	14.662355	Yas	5	16302	43	2G	-65	-	-	-	-	CSFB_4G2G	7887	VD
2025.07.18_22.40.55	-17.439728	14.662743	Yas	5	16302	43	3G	-63	-8	-	-	-	CALL_END	608-02-43-5-16302 VOICE SEQUENCE:13	VD
2025.07.18_22.41.22	-17.439715	14.662932	Yas	5	16302	43	3G	-65	-13	-	-	-	CALL_END	608-02-43-5-16302	D
2025.07.18_22.41.23	-17.43968	14.663022	Yas	0	0	0	2G	-113	-	-	-	-	CELL_RESELECTION_2G2G	608-02-43-5-16302-3060-227:608-02-0-0-0-0-0	I
2025.07.18_22.41.25	-17.43968	14.663022	Yas	1630	13	701	4G	-73	-9	0.0	-	-65	IRAT_HANDOVER_DATA_2G4G	608-02-0-0-0-0-0:608-02-701-1630-13-6400-403	D
2025.07.18_22.41.28	-17.43968	14.663022	Yas	1630	13	701	4G	-72	-8	0.0	-	-61		START PING	I
2025.07.18_22.41.32	-17.439647	14.663117	Yas	1630	13	701	4G	-71	-7	0.0	-	-63		START UPLOAD	D
