Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.07.18_23.17.02	-17.431192	14.668581	expresso	2	10332	3000	3G	-75	-4	-	-	-						0	0	0	0
2025.07.18_23.19.18	-17.431192	14.668581	expresso	2	10332	3000	3G	-79	-4	-	-	-						0	0	0	0
2025.07.18_23.21.33	-17.431012	14.668652	expresso	2	10338	3000	3G	-65	-3	-	-	-						0	0	0	0
2025.07.18_23.23.48	-17.429886	14.668696	expresso	2	10338	3000	3G	-75	-3	-	-	-						0	0	0	0
2025.07.18_23.26.05	-17.429107	14.669293		1033	5	4112	4G	-99	-11	4.0	-	-69						0	0	0	0
2025.07.18_23.28.24	-17.428171	14.669758	expresso	2	10622	3000	3G	-79	-3	-	-	-	105	93	119	10	0	0	9	0	20
2025.07.18_23.30.43	-17.427125	14.670106	expresso	2	40623	3000	3G	-51	-6	-	-	-	101	93	109	7	0	11916	2315	13261	3398
2025.07.18_23.33.01	-17.426697	14.670898	expresso	2	10625	3000	3G	-55	-4	-	-	-	98	91	106	5	0	19226	2860	24480	3772
2025.07.18_23.34.38	-17.426599	14.671456	expresso	2	10624	3000	3G	-63	-6	-	-	-	101	90	108	8	0	13773	1682	17571	1938
2025.07.18_23.36.56	-17.427034	14.672226	expresso	2	10624	3000	3G	-63	-4	-	-	-	106	90	116	9	0	10356	1661	13992	2322
2025.07.18_23.39.14	-17.427523	14.672286	expresso	2	10623	3000	3G	-51	-3	-	-	-	99	90	113	8	0	1	298	1	1086
2025.07.18_23.41.31	-17.428978	14.672596	expresso	2	10621	3000	3G	-79	-8	-	-	-	106	94	116	9	0	9899	1686	11779	2202
2025.07.18_23.43.08	-17.429915	14.672791	expresso	1033	4	4112	4G	-77	-9	12.0	-	-51	80	78	87	3	0	9338	4360	11160	5363
